Kombinace příznaků,Délka úseku,Accuracy,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(1, 1, 1, 1, 1)",6,0.5904761904761905,0.7261146496815286,0.0,1.0,0.5753715498938429,0.5876288659793815,0.0,1.0,0.95,0.0,1.0
"(0, 0, 0, 0, 1)",7,0.8923809523809524,0.9030808102010577,0.8644304070501956,1.0,0.922503739083751,0.9296685564177825,0.8321676715475166,1.0,0.8783333333333333,0.9,1.0
"(0, 0, 0, 1, 0)",7,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(0, 0, 0, 1, 1)",7,0.5733333333333333,0.7113369982366975,0.0,1.0,0.5704456660788991,0.5798291540369248,0.0,1.0,0.9199999999999999,0.0,1.0
"(0, 0, 1, 0, 0)",7,0.9104761904761904,0.9188296594119205,0.8882427689044745,1.0,0.9356908094387982,0.9521472071930788,0.8488927520881424,1.0,0.8883333333333333,0.9324999999999999,1.0
"(0, 0, 1, 0, 1)",7,0.9085714285714286,0.9169531482473493,0.8861371345835952,1.0,0.9343634276103149,0.9520043746405717,0.8450904796021433,1.0,0.885,0.9324999999999999,1.0
"(0, 0, 1, 1, 0)",7,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(0, 0, 1, 1, 1)",7,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(0, 1, 0, 0, 0)",7,0.8438095238095238,0.8526270972680097,0.8149494645341712,1.0,0.8891921872673937,0.9246002531633488,0.7435401243462963,1.0,0.7916666666666666,0.9025000000000001,1.0
"(0, 1, 0, 0, 1)",7,0.8352380952380951,0.8426490688781734,0.8076157718018804,1.0,0.8834216135600179,0.9268744858864881,0.7284058470993623,1.0,0.7733333333333333,0.9075,1.0
"(0, 1, 0, 1, 0)",7,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(0, 1, 0, 1, 1)",7,0.5800000000000001,0.7171242476708715,0.0,1.0,0.5723747492236239,0.5828970331588132,0.0,1.0,0.9316666666666669,0.0,1.0
"(0, 1, 1, 0, 0)",7,0.9019047619047619,0.9106109938861854,0.878395196880092,1.0,0.9296687302554257,0.9498142951185352,0.8329268079337998,1.0,0.875,0.9299999999999999,1.0
"(0, 1, 1, 0, 1)",7,0.900952380952381,0.909854836925201,0.8769933839303915,1.0,0.9289494069518641,0.9482413963995395,0.8325213999117415,1.0,0.875,0.9275,1.0
"(0, 1, 1, 1, 0)",7,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(0, 1, 1, 1, 1)",7,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(1, 0, 0, 0, 0)",7,0.8895238095238096,0.9002419781090154,0.8613593149967403,1.0,0.9205337643685851,0.9292095157612399,0.826391687670962,1.0,0.8733333333333333,0.9,1.0
"(1, 0, 0, 0, 1)",7,0.8914285714285715,0.902134403246067,0.8634059499403189,1.0,0.9218467843954621,0.92952882656217,0.8302697832823467,1.0,0.8766666666666666,0.9,1.0
"(1, 0, 0, 1, 0)",7,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(1, 0, 0, 1, 1)",7,0.5771428571428571,0.7146455176742491,0.0,1.0,0.5715485058914165,0.5815835400018371,0.0,1.0,0.9266666666666665,0.0,1.0
"(1, 0, 1, 0, 0)",7,0.9038095238095238,0.9133338433486085,0.8788443718098155,1.0,0.9307260717194745,0.9404254007702283,0.8463908221724539,1.0,0.8883333333333333,0.915,1.0
"(1, 0, 1, 0, 1)",7,0.8990476190476191,0.9087035163491249,0.8735189933977405,1.0,0.9274075032489553,0.9399697306689493,0.8365208264330845,1.0,0.8800000000000001,0.915,1.0
"(1, 0, 1, 1, 0)",7,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(1, 0, 1, 1, 1)",7,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(1, 1, 0, 0, 0)",7,0.8400000000000001,0.8484766926283751,0.8112982418692376,1.0,0.8865916448325375,0.9240133911415136,0.7374939227439228,1.0,0.785,0.9025000000000001,1.0
"(1, 1, 0, 0, 1)",7,0.8342857142857142,0.8412704534518227,0.8071465568803647,1.0,0.8828056701107293,0.9286155684672934,0.7261878644231585,1.0,0.77,0.9099999999999999,1.0
"(1, 1, 0, 1, 0)",7,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(1, 1, 0, 1, 1)",7,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(1, 1, 1, 0, 0)",7,0.8923809523809524,0.9010650484334695,0.868145958159866,1.0,0.9230703355311117,0.9489514282083942,0.8147166179499372,1.0,0.8583333333333334,0.9299999999999999,1.0
"(1, 1, 1, 0, 1)",7,0.5819047619047619,0.7187679200458754,0.0,1.0,0.5729226400152918,0.5837651122625217,0.0,1.0,0.9350000000000002,0.0,1.0
"(1, 1, 1, 1, 0)",7,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(1, 1, 1, 1, 1)",7,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(0, 0, 0, 0, 1)",8,0.8942857142857144,0.9049749913202307,0.8664817019802655,1.0,0.9238188977668319,0.9299610903767868,0.8360161356953659,1.0,0.8816666666666666,0.9,1.0
"(0, 0, 0, 1, 0)",8,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(0, 0, 0, 1, 1)",8,0.5704761904761904,0.7088422591084665,0.0,1.0,0.5696140863694887,0.5785018100807575,0.0,1.0,0.915,0.0,1.0
"(0, 0, 1, 0, 0)",8,0.9028571428571428,0.9111861107498109,0.8800968371753883,1.0,0.9304276493083998,0.95316752546334,0.8321379356997303,1.0,0.8733333333333333,0.9349999999999999,1.0
"(0, 0, 1, 0, 1)",8,0.9,0.908478049688118,0.876728541967004,1.0,0.928402197218374,0.9512851587375563,0.8281859077120076,1.0,0.8699999999999999,0.9324999999999999,1.0
"(0, 0, 1, 1, 0)",8,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(0, 0, 1, 1, 1)",8,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(0, 1, 0, 0, 0)",8,0.8438095238095238,0.8526270972680097,0.8149494645341712,1.0,0.8891921872673937,0.9246002531633488,0.7435401243462963,1.0,0.7916666666666666,0.9025000000000001,1.0
"(0, 1, 0, 0, 1)",8,0.8352380952380951,0.842355899566533,0.8080150655846936,1.0,0.8834569883837423,0.9287615190998186,0.727561402650442,1.0,0.7716666666666667,0.9099999999999999,1.0
"(0, 1, 0, 1, 0)",8,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(0, 1, 0, 1, 1)",8,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(0, 1, 1, 0, 0)",8,0.8914285714285715,0.89996114556761,0.8674136941328987,1.0,0.9224582799001695,0.950422816518673,0.8113597233998746,1.0,0.8550000000000001,0.9324999999999999,1.0
"(0, 1, 1, 0, 1)",8,0.8266666666666665,0.8614944631837969,0.6924645118235382,1.0,0.8513196583357784,0.8720602086916148,0.6512532478463576,1.0,0.8699999999999999,0.74,1.0
"(0, 1, 1, 1, 0)",8,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(0, 1, 1, 1, 1)",8,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(1, 0, 0, 0, 0)",8,0.8914285714285715,0.9019297418220956,0.8638133027268017,1.0,0.9219143481829658,0.9309189174706416,0.828801326225179,1.0,0.875,0.9025000000000001,1.0
"(1, 0, 0, 0, 1)",8,0.8942857142857144,0.9049749913202307,0.8664817019802655,1.0,0.9238188977668319,0.9299610903767868,0.8360161356953659,1.0,0.8816666666666666,0.9,1.0
"(1, 0, 0, 1, 0)",8,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(1, 0, 0, 1, 1)",8,0.5704761904761904,0.7088422591084665,0.0,1.0,0.5696140863694887,0.5785018100807575,0.0,1.0,0.915,0.0,1.0
"(1, 0, 1, 0, 0)",8,0.8923809523809524,0.901040044101691,0.8681783086767236,1.0,0.9230727842594716,0.9489892476359619,0.814950848313708,1.0,0.8583333333333334,0.93,1.0
"(1, 0, 1, 0, 1)",8,0.8276190476190475,0.8631067001048489,0.6922675266180217,1.0,0.8517914089076235,0.8657580025534205,0.6590137339598565,1.0,0.8783333333333333,0.73,1.0
"(1, 0, 1, 1, 0)",8,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(1, 0, 1, 1, 1)",8,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(1, 1, 0, 0, 0)",8,0.8419047619047619,0.8506173654112498,0.813066039289209,1.0,0.8878944682334862,0.92426849318233,0.7402842696519167,1.0,0.7883333333333333,0.9025000000000001,1.0
"(1, 1, 0, 0, 1)",8,0.8333333333333333,0.8405400873983371,0.8058231449839137,1.0,0.8821210774607504,0.9265929401764413,0.7255128982163669,1.0,0.77,0.9075,1.0
"(1, 1, 0, 1, 0)",8,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(1, 1, 0, 1, 1)",8,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(1, 1, 1, 0, 0)",8,0.8828571428571429,0.8914126101504298,0.8581160113326242,1.0,0.9165095404943513,0.9477356012490652,0.7968660390160378,1.0,0.8416666666666668,0.9299999999999999,1.0
"(1, 1, 1, 0, 1)",8,0.5723809523809523,0.710507208795768,0.0,1.0,0.5701690695985894,0.5793882612289887,0.0,1.0,0.9183333333333333,0.0,1.0
"(1, 1, 1, 1, 0)",8,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(1, 1, 1, 1, 1)",8,0.5714285714285714,0.7096774193548387,0.0,1.0,0.5698924731182796,0.5789473684210527,0.0,1.0,0.9166666666666666,0.0,1.0
"(0, 0, 0, 0, 1)",9,0.8942857142857144,0.9047891971430202,0.8668360229241765,1.0,0.9238750733557322,0.9314758795021951,0.8345954976997569,1.0,0.8799999999999999,0.9025000000000001,1.0
"(0, 0, 0, 1, 0)",9,0.5619047619047619,0.7012987012987013,0.0,1.0,0.5670995670995671,0.574468085106383,0.0,1.0,0.9,0.0,1.0
"(0, 0, 0, 1, 1)",9,0.5609523809523809,0.70045264182072,0.0,1.0,0.5668175472735733,0.5740129707589032,0.0,1.0,0.8983333333333334,0.0,1.0
